"id","dtUTC","lon","lat"
"035m02",2018-10-30 18:07:00,150.222976200021,-36.2517352985967
"035m02",2018-10-30 18:12:00,150.218220971827,-36.2520789435329
"035m02",2018-10-30 18:17:00,150.213347463594,-36.2526674012226
"035m02",2018-10-30 18:22:00,150.208108400405,-36.2547172566391
"035m02",2018-10-30 18:27:00,150.205640511848,-36.255721322003
"035m02",2018-10-30 18:32:00,150.201878630293,-36.2570938568302
"035m02",2018-10-30 18:37:00,150.197995182431,-36.2588413064552
"035m02",2018-10-30 18:42:00,150.194087604944,-36.2607569008348
"035m02",2018-10-30 18:47:00,150.18930336412,-36.2633870842285
"035m02",2018-10-30 18:52:00,150.185254310101,-36.26533508227
"035m02",2018-10-30 18:57:00,150.182018297798,-36.2670980961267
"035m02",2018-10-30 19:02:00,150.180497783599,-36.2689730078235
"035m02",2018-10-30 19:07:00,150.178088659346,-36.2713511728738
"035m02",2018-10-30 19:12:00,150.174017206708,-36.2743801849404
"035m02",2018-10-30 19:17:00,150.172152440617,-36.2766440676288
"035m02",2018-10-30 19:22:00,150.170436568572,-36.2788159814044
"035m02",2018-10-30 19:27:00,150.167231803778,-36.2815019488746
"035m02",2018-10-30 19:32:00,150.164970495065,-36.2855312689773
"035m02",2018-10-30 19:37:00,150.163150615904,-36.2890811258391
"035m02",2018-10-30 19:42:00,150.162118079359,-36.2923432761812
"035m02",2018-10-30 19:47:00,150.16143800844,-36.2950992276743
"035m02",2018-10-30 19:52:00,150.160643298307,-36.2976377460856
"035m02",2018-10-30 19:57:00,150.160411541323,-36.2998771408275
"035m02",2018-10-30 20:02:00,150.161080002502,-36.3019130137636
"035m02",2018-10-30 20:07:00,150.161572075494,-36.3040280590946
"035m02",2018-10-30 20:12:00,150.162160544461,-36.306248340922
"035m02",2018-10-30 20:17:00,150.162674078945,-36.3085841377573
"035m02",2018-10-30 20:22:00,150.162859770604,-36.3110107037234
"035m02",2018-10-30 20:27:00,150.160828875415,-36.3142522003814
"035m02",2018-10-30 20:32:00,150.158854688639,-36.3174891028976
"035m02",2018-10-30 20:37:00,150.157050137074,-36.3199811153055
"035m02",2018-10-30 20:42:00,150.154858141413,-36.3240925443788
"035m02",2018-10-30 20:47:00,150.152760054478,-36.3273770788458
"035m02",2018-10-30 20:52:00,150.151050083989,-36.3311175893474
"035m02",2018-10-30 20:57:00,150.149900004042,-36.3336944147867
"035m02",2018-10-30 21:02:00,150.149465331547,-36.3352648461919
"035m02",2018-10-30 21:07:00,150.149101805997,-36.3365050661096
"035m02",2018-10-30 21:12:00,150.148828849021,-36.3377411803275
"035m02",2018-10-30 21:17:00,150.148098704278,-36.3386770134756
"035m02",2018-10-30 21:22:00,150.147249405355,-36.3396149716371
"035m02",2018-10-30 21:27:00,150.145879147133,-36.3404899352948
"035m02",2018-10-30 21:32:00,150.144999303561,-36.3413188276791
"035m02",2018-10-30 21:37:00,150.14452504136,-36.3417929796679
"035m02",2018-10-30 21:42:00,150.144115641476,-36.3421240569688
"035m02",2018-10-30 21:47:00,150.14374363715,-36.3425486710167
"035m02",2018-10-30 21:52:00,150.143373082715,-36.3429407805425
"035m02",2018-10-30 21:57:00,150.142723866516,-36.343569765683
"035m02",2018-10-30 22:02:00,150.141720328805,-36.3444032327127
"035m02",2018-10-30 22:07:00,150.140838019461,-36.3449528709347
"035m02",2018-10-30 22:12:00,150.140463732908,-36.3450597564833
"035m02",2018-10-30 22:17:00,150.14172141992,-36.3454215279372
"035m02",2018-10-30 22:22:00,150.14259965546,-36.3455362903747
"035m02",2018-10-30 22:27:00,150.143380327655,-36.345377182904
"035m02",2018-10-30 22:32:00,150.143881418617,-36.3464417863782
"035m02",2018-10-30 22:37:00,150.144927071826,-36.3458766007764
"035m02",2018-10-30 22:42:00,150.145637812981,-36.3463711965727
"035m02",2018-10-30 22:47:00,150.146205637906,-36.3472613025171
"035m02",2018-10-30 22:52:00,150.146238739749,-36.3479274547304
"035m02",2018-10-30 22:57:00,150.14630386879,-36.348821976113
"035m02",2018-10-30 23:02:00,150.146213390345,-36.3495141312376
"035m02",2018-10-30 23:07:00,150.145952658501,-36.3501902180343
"035m02",2018-10-30 23:12:00,150.145317857911,-36.3508127562939
"035m02",2018-10-30 23:17:00,150.143268465359,-36.3517204286468
"035m02",2018-10-30 23:22:00,150.144553274017,-36.3542515804794
"035m02",2018-10-30 23:27:00,150.14606029486,-36.3562247467226
"035m02",2018-10-30 23:32:00,150.14567670022,-36.3584419785463
"035m02",2018-10-30 23:37:00,150.144634821804,-36.3610622469258
"035m02",2018-10-30 23:42:00,150.141946905515,-36.3616147217033
"035m02",2018-10-30 23:47:00,150.139439199646,-36.3614378015868
"035m02",2018-10-30 23:52:00,150.138074939469,-36.3612584670159
"035m02",2018-10-30 23:57:00,150.136915236662,-36.3606416566767
"035m02",2018-10-31 00:02:00,150.135742032105,-36.3601710568339
"035m02",2018-10-31 00:07:00,150.134909787048,-36.3595901494944
"035m02",2018-10-31 00:12:00,150.134538375212,-36.3594735872683
"035m02",2018-10-31 00:17:00,150.133477283349,-36.3586375192796
"035m02",2018-10-31 00:22:00,150.13251320614,-36.3580014359892
"035m02",2018-10-31 00:27:00,150.131887720983,-36.3571915766388
"035m02",2018-10-31 00:32:00,150.131153561443,-36.3565229103839
"035m02",2018-10-31 00:37:00,150.131283924092,-36.3558504353211
"035m02",2018-10-31 00:42:00,150.131750993857,-36.357387684543
"035m02",2018-10-31 00:47:00,150.131259251784,-36.3589669524715
"035m02",2018-10-31 00:52:00,150.129721708634,-36.3610849220661
